id	initL	initR	finalL	finalR	message (DEL=deleted NOC=no change MOD=modified)
312	0	0	0	0	NOV
313	0	0	0	0	NOV
314	0	0	0	0	NOV
315	0	0	0	0	NOV
316	0	512	0	505	MOD	skipped 0 overlaps; used 47 overlaps
317	0	0	0	0	NOV
318	0	0	0	0	NOV
319	0	562	3	548	MOD	skipped 0 overlaps; used 47 overlaps
320	0	0	0	0	NOV
321	0	0	0	0	NOV
322	0	0	0	0	NOV
323	0	0	0	0	NOV
324	0	498	0	498	NOC	skipped 0 overlaps; used 47 overlaps
325	0	0	0	0	NOV
326	0	0	0	0	NOV
327	0	0	0	0	NOV
328	0	0	0	0	NOV
329	0	0	0	0	NOV
330	0	0	0	0	NOV
331	0	0	0	0	NOV
332	0	0	0	0	NOV
333	0	0	0	0	NOV
334	0	0	0	0	NOV
335	0	0	0	0	NOV
336	0	0	0	0	NOV
337	0	0	0	0	NOV
338	0	0	0	0	NOV
339	0	0	0	0	NOV
340	0	0	0	0	NOV
341	0	0	0	0	NOV
342	0	0	0	0	NOV
343	0	0	0	0	NOV
344	0	0	0	0	NOV
345	0	534	1	534	MOD	skipped 0 overlaps; used 47 overlaps
346	0	0	0	0	NOV
347	0	0	0	0	NOV
348	0	0	0	0	NOV
349	0	0	0	0	NOV
350	0	0	0	0	NOV
351	0	520	0	520	NOC	skipped 0 overlaps; used 47 overlaps
352	0	0	0	0	NOV
353	0	0	0	0	NOV
354	0	0	0	0	NOV
355	0	510	0	510	NOC	skipped 0 overlaps; used 47 overlaps
356	0	0	0	0	NOV
357	0	0	0	0	NOV
358	0	0	0	0	NOV
359	0	0	0	0	NOV
360	0	511	0	511	NOC	skipped 0 overlaps; used 47 overlaps
361	0	0	0	0	NOV
362	0	0	0	0	NOV
363	0	507	0	507	NOC	skipped 0 overlaps; used 47 overlaps
364	0	525	0	525	NOC	skipped 0 overlaps; used 47 overlaps
365	0	0	0	0	NOV
366	0	0	0	0	NOV
367	0	0	0	0	NOV
368	0	0	0	0	NOV
369	0	529	0	529	NOC	skipped 0 overlaps; used 47 overlaps
370	0	0	0	0	NOV
371	0	0	0	0	NOV
372	0	0	0	0	NOV
373	0	542	0	542	NOC	skipped 0 overlaps; used 47 overlaps
374	0	0	0	0	NOV
375	0	0	0	0	NOV
376	0	0	0	0	NOV
377	0	0	0	0	NOV
378	0	0	0	0	NOV
379	0	0	0	0	NOV
380	0	0	0	0	NOV
381	0	515	0	515	NOC	skipped 0 overlaps; used 47 overlaps
382	0	0	0	0	NOV
383	0	0	0	0	NOV
384	0	0	0	0	NOV
385	0	0	0	0	NOV
386	0	0	0	0	NOV
387	0	0	0	0	NOV
388	0	0	0	0	NOV
389	0	0	0	0	NOV
390	0	501	0	501	NOC	skipped 0 overlaps; used 47 overlaps
391	0	0	0	0	NOV
392	0	0	0	0	NOV
393	0	0	0	0	NOV
394	0	0	0	0	NOV
395	0	0	0	0	NOV
396	0	0	0	0	NOV
397	0	0	0	0	NOV
398	0	0	0	0	NOV
399	0	0	0	0	NOV
400	0	0	0	0	NOV
401	0	0	0	0	NOV
402	0	0	0	0	NOV
403	0	0	0	0	NOV
